Date	Sleep	SleepStage	ID	Session
20150608_05-57-38	sleep	3	4029	E1
20150608_05-58-08	sleep	3	4029	E1
20150608_05-58-38	sleep	3	4029	E1
20150608_05-59-08	sleep	3	4029	E1
20150608_05-59-38	sleep	3	4029	E1
20150608_06-00-08	sleep	3	4029	E1
20150608_06-00-38	sleep	3	4029	E1
20150608_06-01-08	sleep	3	4029	E1
20150608_06-01-38	sleep	3	4029	E1
20150608_06-02-08	sleep	3	4029	E1
20150608_06-02-38	sleep	3	4029	E1
20150608_06-03-08	sleep	3	4029	E1
20150608_06-03-38	sleep	3	4029	E1
20150608_06-04-08	sleep	3	4029	E1
20150608_06-04-38	sleep	3	4029	E1
20150608_06-05-08	sleep	3	4029	E1
20150608_06-05-38	sleep	3	4029	E1
20150608_06-06-08	sleep	3	4029	E1
20150608_06-06-38	sleep	3	4029	E1
20150608_06-07-08	sleep	3	4029	E1
20150608_06-07-38	sleep	3	4029	E1
20150608_06-08-08	sleep	3	4029	E1
20150608_06-08-38	sleep	3	4029	E1
20150608_06-09-08	sleep	3	4029	E1
20150608_06-09-38	sleep	3	4029	E1
20150608_06-10-08	sleep	3	4029	E1
20150608_06-10-38	sleep	3	4029	E1
20150608_06-11-08	sleep	3	4029	E1
20150608_06-11-38	sleep	3	4029	E1
20150608_06-12-08	sleep	3	4029	E1
20150608_06-12-38	sleep	3	4029	E1
20150608_06-13-08	sleep	3	4029	E1
20150608_06-13-38	sleep	3	4029	E1
20150608_06-14-08	sleep	3	4029	E1
20150608_06-14-38	sleep	3	4029	E1
20150608_06-15-08	sleep	3	4029	E1
20150608_06-15-38	sleep	3	4029	E1
20150608_06-16-08	sleep	3	4029	E1
20150608_06-16-38	sleep	3	4029	E1
20150608_06-17-08	sleep	3	4029	E1
20150608_06-17-38	sleep	2	4029	E1
20150608_06-18-08	sleep	2	4029	E1
20150608_06-18-38	sleep	2	4029	E1
20150608_06-19-08	sleep	2	4029	E1
20150608_06-19-38	sleep	2	4029	E1
20150608_06-20-08	sleep	2	4029	E1
20150608_06-20-38	sleep	2	4029	E1
20150608_06-21-08	sleep	2	4029	E1
20150608_06-21-38	sleep	2	4029	E1
20150608_06-22-08	sleep	2	4029	E1
20150608_06-22-38	sleep	2	4029	E1
20150608_06-23-08	sleep	2	4029	E1
20150608_06-23-38	sleep	2	4029	E1
20150608_06-24-08	sleep	2	4029	E1
20150608_06-24-38	sleep	2	4029	E1
20150608_06-25-08	sleep	2	4029	E1
20150608_06-25-38	sleep	2	4029	E1
20150608_06-26-08	sleep	2	4029	E1
20150608_06-26-38	sleep	2	4029	E1
20150608_06-27-08	sleep	1	4029	E1
20150608_06-27-38	sleep	1	4029	E1
20150608_06-28-08	sleep	2	4029	E1
20150608_06-28-38	sleep	2	4029	E1
20150608_06-29-08	sleep	2	4029	E1
20150608_06-29-38	sleep	2	4029	E1
20150608_06-30-08	sleep	2	4029	E1
20150608_06-30-38	sleep	1	4029	E1
20150608_06-31-08	sleep	1	4029	E1
20150608_06-31-38	sleep	1	4029	E1
20150608_06-32-08	sleep	1	4029	E1
20150608_06-32-38	sleep	1	4029	E1
20150608_06-33-08	sleep	2	4029	E1
20150608_06-33-38	sleep	2	4029	E1
20150608_06-34-08	sleep	2	4029	E1
20150608_06-34-38	sleep	2	4029	E1
20150608_06-35-08	sleep	2	4029	E1
20150608_06-35-38	sleep	2	4029	E1
20150608_06-36-08	sleep	2	4029	E1
20150608_06-36-38	sleep	2	4029	E1
20150608_06-37-08	sleep	2	4029	E1
20150608_06-37-38	sleep	2	4029	E1
